INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-01-0000-2020-212,CA0010000,4/24/2020,10:40,SUNOL,ALAMEDA,CA,94586,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-01-0000-2020-3d6,CA0010000,2/7/2020,19:55,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,in_custody_event,booked_awaiting_trial,1,2,1
URSUS-01-0000-2020-42e,CA0010000,10/23/2020,12:45,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,4,1
URSUS-01-0000-2020-4b8,CA0010000,5/28/2020,19:40,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,5,1
URSUS-01-0000-2020-718,CA0010000,5/15/2020,11:37,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,FALSE,TRUE,pre_planned,,1,9,1
URSUS-01-0000-2020-748,CA0010000,10/25/2020,12:50,SAN LEANDRO,ALAMEDA,CA,94577,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,7,1
URSUS-01-0000-2020-816,CA0010000,4/30/2020,16:05,OAKLAND,ALAMEDA,CA,94605,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-01-0000-2020-bdc,CA0010000,4/11/2020,18:57,OAKLAND,ALAMEDA,CA,94601,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-01-0000-2020-c5b,CA0010000,12/11/2020,11:40,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,2,1
URSUS-01-0000-2020-dbf,CA0010000,12/20/2020,20:03,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-01-013G-2020-257,CA001013G,2/18/2020,10:52,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,FALSE,FALSE,in_custody_event,out_of_court,1,1,1
URSUS-01-0300-2020-a98,CA0010300,7/30/2020,21:18,BERKELEY,ALAMEDA,CA,94709,FALSE,FALSE,TRUE,TRUE,in_progress,,3,1,1
URSUS-01-0500-2020-40c,CA0010500,3/21/2020,0:35,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-01-0500-2020-52c,CA0010500,4/1/2020,21:21,SAN LEANDRO,ALAMEDA,CA,94579,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-01-0500-2020-c4f,CA0010500,10/12/2020,22:29,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-01-0500-2020-e43,CA0010500,8/17/2020,3:10,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-01-0600-2020-4c6,CA0010600,6/1/2020,3:58,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
